"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"RN, 30+ years in healthcare, mother of boys, daughter, sister, friend, animal lover, humanist, feminist, fun loving, intelligent, nature lover. #TheResistance",20758,899,11155,1781,NA,"Kathryn Lowery","2013-01-29 20:43:07",FALSE,FALSE,"kloweryrehabrn","USA","en",1132086296,50,FALSE,"http://pbs.twimg.com/profile_images/3180864898/4e865a68182c6dc0d4382f44fff6559d_normal.jpeg"
"Registered Nurse, Clinical Assistant Professor at Adelphi University, College of Nursing and Public Health in Garden City, New York. Views/Comments are my own.",22112,1081,68213,588,NA,"Patricia Facquet","2011-11-04 22:02:18",FALSE,FALSE,"PatriciaFacquet","Hauppauge, New York, USA","en",405124499,85,FALSE,"http://pbs.twimg.com/profile_images/566370118561583104/9_34uYDQ_normal.jpeg"
"",14906,197,15167,433,NA,"TJ","2014-06-20 22:34:33",FALSE,FALSE,"tracydete","Minnesota, USA","en",2626885396,1,FALSE,"http://pbs.twimg.com/profile_images/947272105745375232/RKb1Qefi_normal.jpg"
"I'm adaptable. I'm interested. I think for myself....so just answer a few questions for me?",7585,210,4359,695,NA,"Kayla Hackney","2016-07-01 22:01:28",FALSE,FALSE,"1randomdaisy","Michigan, USA","en",748999989775462400,46,FALSE,"http://pbs.twimg.com/profile_images/855490545107554304/57DwL5bB_normal.jpg"
"Cellular Immunologist, Quantum Biology, Veterinarian, humanitarian / Public Health; Husband&Dad; Gates Grand Challenge Awardee and Aquarian with Insomnia<ed><U+00A0><U+00BE><ed><U+00B7><U+00A0><ed><U+00A0><U+00BD><ed><U+00B4><U+00AC><ed><U+00A0><U+00BD><ed><U+00B2><U+0089><U+2652><U+FE0F><U+269B><U+FE0F>",34030,3883,291,3677,"https://t.co/2C13by1VoI","Sunil Joshi","2015-05-31 21:39:05",FALSE,FALSE,"immunpulse","USA","en",3305027733,267,FALSE,"http://pbs.twimg.com/profile_images/922209762137296896/FDEXXydc_normal.jpg"
"Still waiting for my invitation to the White House (But I prefer a trip to the CDC) #SaveABX Antibiotic Stewardship and healthcare related filter for @manfordou",892,432,1576,358,NA,"ABX PharmD","2014-09-01 11:32:05",FALSE,FALSE,"ABXPharmD","USA","en",2783997703,6,FALSE,"http://pbs.twimg.com/profile_images/506405398044082176/T3Y8wSi5_normal.jpeg"
"",27055,110,1,53,"https://t.co/Qwigc0BQ8N","Vin","2016-04-02 16:17:22",FALSE,FALSE,"CareFrameOne","Massachusetts, USA","en",716298489664315392,166,FALSE,"http://pbs.twimg.com/profile_images/716301789721538562/1G6vfCW6_normal.jpg"
"I have no idea why I am here, but I haven’t found a reason to leave just yet...",443,35,8068,379,NA,"Kelly Bannasch","2012-09-25 11:18:21",FALSE,FALSE,"KellyBannasch","Pennsylvania, USA","en",845337061,0,FALSE,"http://pbs.twimg.com/profile_images/965926520270262272/jLyBeLP-_normal.jpg"
"",7887,54,933,153,NA,"Chona Guernsey","2011-03-01 07:24:36",FALSE,FALSE,"qihlr","California, USA","en",259154785,5,FALSE,"http://pbs.twimg.com/profile_images/730323913830334464/GhYig5Mb_normal.jpg"
"Exercise Science/Health & Wellness Promotion Professor at Saint Joseph's College of Maine",1081,81,932,70,NA,"Karen Croteau","2012-10-26 21:19:20",FALSE,FALSE,"DrKarenCroteau","Harpswell, ME USA","en",906802154,17,FALSE,"http://pbs.twimg.com/profile_images/2768230655/308bed63bb7a00480cb353ffd34ba682_normal.jpeg"
"The time is NOW to QUESTION EVERYTHING. #Nobody is telling us the #Truth about #CDCwhistleblower #VaxXed #Vaccines #GeoEngineering  #5G #SmartMeters #Agenda2030",6066,2174,3644,2031,NA,"(((Silent Spring)))","2015-04-28 07:55:49",FALSE,FALSE,"SilentSpring05","California, USA","en",3177970927,33,FALSE,"http://pbs.twimg.com/profile_images/923959090635608064/dAtGNtmz_normal.jpg"
"John C. Carter, COO of @WyanokeGroup, is all about @GoHealo, SLACK Inc., AMS and @RRCWoodbury. Views are my own.",991,462,529,488,"https://t.co/OlvEnrFoZS","John C. Carter","2009-03-30 16:51:38",FALSE,FALSE,"JohnCCarter","Thorofare New Jersey USA","en",27678632,17,FALSE,"http://pbs.twimg.com/profile_images/716358815030054912/KYbihCiW_normal.jpg"
"",40855,141712,396,22,NA,"Beltway Pundit","2012-05-17 19:48:27",FALSE,FALSE,"BeltwayPundit","Florida, USA","en",583162248,189,FALSE,"http://pbs.twimg.com/profile_images/798945980221685765/MXEWFGsT_normal.jpg"
"Entrepreneur, DoGooder, Advocate: Health, Medicine, Communications, Journalism, New & Social Media, Tech, Marketing, Seniors, Women, disABILITIES, Environment",129469,8889,13095,4674,NA,"Elin Silveous","2009-11-05 20:50:18",FALSE,FALSE,"ElinSilveous","USA","en",87779569,1627,FALSE,"http://pbs.twimg.com/profile_images/463466580052295681/GLoU2EA4_normal.jpeg"
"Public Health-Environmental Health Specialist. #Blockchain #Philosopher #EulersIdentity #RCMUPR Left-wingers say I'm RIGHT! <U+263A><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B1> #DrPHstudent et al.",32533,2420,57159,825,NA,"Johel Anathema Sit","2010-04-20 18:50:38",FALSE,FALSE,"mrjohelpadilla","Puerto Rico, USA","en",135239971,112,FALSE,"http://pbs.twimg.com/profile_images/970359292044939266/t5kFDT5r_normal.jpg"
"",7887,54,933,153,NA,"Chona Guernsey","2011-03-01 07:24:36",FALSE,FALSE,"qihlr","California, USA","en",259154785,5,FALSE,"http://pbs.twimg.com/profile_images/730323913830334464/GhYig5Mb_normal.jpg"
"Worked@ / https://t.co/yhVyMIpUYU / https://t.co/qltk2oMcHY / https://t.co/Tz7pOpkle0 / https://t.co/G5kPdhM036 / https://t.co/nwDFrJiWoB / UNOFFICIAL service by retiree.",33961,843,1708,203,"https://t.co/fVAYVjvT8U","Human Service, etc. RTs","2011-05-24 15:19:06",FALSE,FALSE,"CharlyLee_PSU72","Boalsburg, Pennsylvania, USA","en",304464940,177,FALSE,"http://pbs.twimg.com/profile_images/917140743063527425/LARsp3Lp_normal.jpg"
